Unused functions :

Strip   pad
  144     4 sceSifRemoveRpc in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[46]
  208     0 sceSifRegisterRpc in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[45]
  144     4 sceSifSetRpcQueue in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[44]
   64     0 _sceRpcGetFPacket2 in D:\usr\local\sce\ee\lib\libkernl.a(sifrpc.o)[31]
   24     0 sceSifSetSysCmdBuffer in D:\usr\local\sce\ee\lib\libkernl.a(sifcmd.o)[36]
   24     0 sceSifSetCmdBuffer in D:\usr\local\sce\ee\lib\libkernl.a(sifcmd.o)[35]
    8     4 sceSifGetDataTable in D:\usr\local\sce\ee\lib\libkernl.a(sifcmd.o)[14]
   24     4 sceSifSetSreg in D:\usr\local\sce\ee\lib\libkernl.a(sifcmd.o)[13]
   32     4 sceDeci2ExUnLock in D:\usr\local\sce\ee\lib\libkernl.a(deci2.o)[18]
   32     4 sceDeci2ExLock in D:\usr\local\sce\ee\lib\libkernl.a(deci2.o)[17]
  152     0 iSuspendThread in D:\usr\local\sce\ee\lib\libkernl.a(thread.o)[31]
   32     0 iDisableDmac in D:\usr\local\sce\ee\lib\libkernl.a(intr.o)[25]
   32     0 iEnableDmac in D:\usr\local\sce\ee\lib\libkernl.a(intr.o)[23]
   32     0 iDisableIntc in D:\usr\local\sce\ee\lib\libkernl.a(intr.o)[21]
   32     0 iEnableIntc in D:\usr\local\sce\ee\lib\libkernl.a(intr.o)[19]
   16     0 QueryIntrContext in D:\usr\local\sce\ee\lib\libkernl.a(intr.o)[8]
   16     4 iInvalidDCache in D:\usr\local\sce\ee\lib\libkernl.a(cache.o)[15]
  120     4 InvalidDCache in D:\usr\local\sce\ee\lib\libkernl.a(cache.o)[14]
  160     4 _sceIDC in D:\usr\local\sce\ee\lib\libkernl.a(cache.o)[13]
   16     4 iSyncDCache in D:\usr\local\sce\ee\lib\libkernl.a(cache.o)[12]
   40     0 unlink in D:\usr\local\sce\ee\lib\libkernl.a(glue.o)[35]
   40     0 stat in D:\usr\local\sce\ee\lib\libkernl.a(glue.o)[34]
    8     0 ioctl in D:\usr\local\sce\ee\lib\libkernl.a(glue.o)[23]
   16     0 MachineType in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[146]
   16     0 PSMode in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[145]
    0    16 _ExecOSD in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[143]
   16     0 isceSifDmaStat in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[136]
   16     0 _print in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[134]
   16     0 RFU116 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[133]
    0    16 SetPgifHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[131]
   16     0 iGsPutIMR in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[130]
   16     0 iGsGetIMR in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[128]
    0    16 GsGetIMR in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[127]
   16     0 SetOsdConfigParam2 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[125]
   16     0 SetCPUTimer in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[124]
    0    16 SetCPUTimerHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[123]
   16     0 iCpuConfig in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[121]
   16     0 iFlushCache in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[120]
    0    16 iGetCop0 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[119]
   16     0 CpuConfig in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[118]
   16     0 GetCop0 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[116]
    0    16 DisableCache in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[115]
   16     0 EnableCache in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[114]
   16     0 KSeg0 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[113]
   16     0 iDisableDmacHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[112]
    0    16 DisableDmacHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[111]
   16     0 iEnableDmacHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[110]
   16     0 EnableDmacHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[109]
   16     0 iDisableIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[108]
    0    16 DisableIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[107]
   16     0 iEnableIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[106]
   16     0 EnableIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[105]
   16     0 RFU091 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[104]
    0    16 RFU090_iReferEventFlagStatus in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[103]
   16     0 RFU089_ReferEventFlagStatus in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[102]
   16     0 RFU088_iPollEvnetFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[101]
   16     0 RFU087_PollEvnetFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[100]
    0    16 RFU086_WaitEvnetFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[99]
   16     0 RFU085_iClearEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[98]
   16     0 RFU084_ClearEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[97]
   16     0 RFU083_iSetEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[96]
    0    16 RFU082_SetEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[95]
   16     0 RFU081_DeleteEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[94]
   16     0 RFU080_CreateEventFlag in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[93]
   16     0 SetGsVParam in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[92]
    0    16 SetGsHParam in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[91]
   16     0 GetGsVParam in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[90]
   16     0 GetGsHParam in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[89]
   16     0 RFU073 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[86]
   16     0 iReferSemaStatus in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[85]
   16     0 ReferSemaStatus in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[84]
    0    16 iPollSema in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[83]
   16     0 RFU063 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[76]
   16     0 RFU061 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[74]
   16     0 RFU060 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[73]
   16     0 JoinThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[72]
    0    16 iResumeThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[71]
   16     0 _iSuspendThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[69]
    0    16 iCancelWakeupThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[67]
   16     0 CancelWakeupThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[66]
   16     0 iReferThreadStatus in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[62]
    0    16 iReleaseWaitThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[59]
   16     0 ReleaseWaitThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[58]
   16     0 _iRotateThreadReadyQueue in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[57]
    0    16 iChangeThreadPriority in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[55]
   16     0 EnableDispatchThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[53]
   16     0 DisableDispatchThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[52]
    0    16 iTerminateThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[51]
   16     0 ExitThread in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[48]
   16     0 iReleaseAlarm in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[44]
   16     0 _iDisableDmac in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[42]
   16     0 _iEnableDmac in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[41]
   16     0 _iDisableIntc in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[40]
    0    16 _iEnableIntc in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[39]
   16     0 AddIntcHandler2 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[28]
   16     0 SetVInterruptHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[26]
    0    16 Interrupt2Iop in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[23]
   16     0 RemoveSbusIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[22]
   16     0 AddSbusIntcHandler in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[21]
   16     0 RFU009 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[20]
    0    16 RFU008 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[19]
   16     0 _ExecPS2 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[18]
   16     0 RFU005 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[16]
   16     0 RFU003 in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[14]
   16     0 ResetEE in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[12]
    0    16 RFU000_FullReset in D:\usr\local\sce\ee\lib\libkernl.a(klib.o)[11]
   56     4 snProfDisableInt in D:\usr\local\sce\ee\lib\libsn.a(profile.o)[19]
   32     0 _snProfDisableInt in D:\usr\local\sce\ee\lib\libsn.a(prof.o)[95]
   28     0 snProfClrFlags in D:\usr\local\sce\ee\lib\libsn.a(prof.o)[93]
   28     0 snProfSetFlags in D:\usr\local\sce\ee\lib\libsn.a(prof.o)[92]
   24     0 snProfSetRange in D:\usr\local\sce\ee\lib\libsn.a(prof.o)[90]
    8     4 snIsDebuggerRunning in D:\usr\local\sce\ee\lib\libsn.a(debug.o)[10]
  264     0 sceMcGetEntSpace in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[68]
  200     4 sceMcUnformat in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[67]
  456     0 sceMcSetFileInfo in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[64]
  320     0 sceMcChdir in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[60]
  128     4 mceStorePwd in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[56]
  104     4 sceMcUdCheckNewCard in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[54]
  184     0 sceMcChangeThreadPriority in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[27]
   48     0 _lmcGetClientPtr in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[26]
   64     0 sceMcEnd in D:\usr\local\sce\ee\lib\libmc.a(libmc.o)[24]
    8     0 sceScfGetGMTfromRTC in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[37]
  104     0 sceScfGetTimeNotation in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[27]
   96     4 sceScfGetDateNotation in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[24]
   56     4 sceScfGetSpdif in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[22]
   64     0 sceScfGetAspect in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[21]
   24     4 sceScfSetT10kConfig in D:\usr\local\sce\ee\lib\libscf.a(libscf.o)[20]
  112     0 sceMtapChangeThreadPriority in D:\usr\local\sce\ee\lib\libmtap.a(libmtap.o)[27]
  104     4 sceMtapPortClose in D:\usr\local\sce\ee\lib\libmtap.a(libmtap.o)[25]
   24     4 sceCdSearchFile in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[72]
  784     4 sceCdLayerSearchFile in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[63]
  112     4 sceCdPOffCallback in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[56]
  208     4 sceCdInitEeCB in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[40]
  184     4 _Cdvd_cbLoop in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[36]
   88     4 sceCdCallback in D:\usr\local\sce\ee\lib\libcdvd.a(cdvd000.o)[28]
  152     4 _sdrCB in D:\usr\local\sce\ee\lib\libsdr.a(sdr_cb.o)[29]
   96     4 _sdrCBThread in D:\usr\local\sce\ee\lib\libsdr.a(sdr_cb.o)[21]
  208     4 sceSdRemoteCallbackInit in D:\usr\local\sce\ee\lib\libsdr.a(sdr_cb.o)[19]
   16     0 sceSdCallBack in D:\usr\local\sce\ee\lib\libsdr.a(sdr_main.o)[21]
  128     4 sceSdTransToIOP in D:\usr\local\sce\ee\lib\libsdr.a(sdr_main.o)[18]
  336     0 sceIpuRestartDMA in D:\usr\local\sce\ee\lib\libipu.a(libipu.o)[13]
  224     4 sceIpuStopDMA in D:\usr\local\sce\ee\lib\libipu.a(libipu.o)[12]
   96     4 setD4_CHCR in D:\usr\local\sce\ee\lib\libipu.a(libipu.o)[11]
   96     4 setD3_CHCR in D:\usr\local\sce\ee\lib\libipu.a(libipu.o)[8]
  104     0 scePadSetWarningLevel in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[56]
   96     4 scePadGetPortMax in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[54]
  200     4 scePadSetVrefParam in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[53]
   80     4 scePadExitPressMode in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[52]
  280     4 scePadInfoComb in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[43]
   48     4 scePadReqIntToStr in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[41]
   48     4 scePadStateIntToStr in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[36]
   80     0 scePadGetFrameCount in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[31]
  184     0 scePadPortClose in D:\usr\local\sce\ee\lib\libpad.a(libpad.o)[29]
  312     4 sceDevFont in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[67]
  104     0 sceDevConsPiece in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[61]
  352     4 sceDevConsFrame in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[60]
  280     4 sceDevConsMessage in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[59]
    8     0 sceDevConsAttribute in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[56]
  112     4 sceDevConsGet in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[54]
  424     4 sceDevConsDrawS in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[43]
  152     4 sceDevConsRef in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[32]
   64     0 sceDevFontIdle in D:\usr\local\sce\ee\lib\libdev.a(devfont.o)[23]
   88     4 sceDevVif0PutFifo in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[15]
  384     0 sceDevVif0GetCnd in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[14]
   16     0 sceDevVif0GetErr in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[13]
   32     0 sceDevVif0PutErr in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[12]
   56     4 sceDevVif0Continue in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[11]
   80     0 sceDevVif0Sync in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[10]
  104     0 sceDevVif0Pause in D:\usr\local\sce\ee\lib\libdev.a(devvif0.o)[9]
  360     4 sceDevVu0PutCnd in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[21]
  224     0 sceDevVu0GetCnd in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[20]
   16     0 sceDevVu0GetTBit in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[19]
   16     0 sceDevVu0GetDBit in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[18]
   48     0 sceDevVu0PutTBit in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[17]
   48     0 sceDevVu0PutDBit in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[16]
   16     0 sceDevVu0Exec in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[15]
    8     4 sceDevVu0GetTpc in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[14]
   80     0 sceDevVu0Continue in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[13]
   16     4 sceDevVu0CheckBusy in D:\usr\local\sce\ee\lib\libdev.a(devvu0.o)[9]
   16     4 sceDmaRestart in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[37]
   48     4 sceDmaWatch in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[34]
  128     0 sceDmaRecvI in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[32]
  120     4 sceDmaRecvN in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[31]
   72     0 sceDmaRecv in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[30]
  112     4 sceDmaSendI in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[29]
  112     4 sceDmaSendN in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[28]
   16     4 sceDmaPutStallAddr in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[26]
  128     4 WatchDma in D:\usr\local\sce\ee\lib\libdma.a(libdma.o)[13]
   24     4 _IO_getline in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(iogetline.o)[8]
    8     0 _IO_default_write in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[55]
    8     0 _IO_default_read in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[54]
    8     0 _IO_default_stat in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[53]
    8     0 _IO_default_seek in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[52]
    8     0 _IO_default_seekoff in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[37]
    8     0 _IO_default_sync in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[35]
    8     0 _IO_default_underflow in D:\usr\local\sce\ee\gcc\ee\lib\libstdc++.a(genops.o)[26]
   40     0 __sigtramp in D:\usr\local\sce\ee\gcc\ee\lib\libg.a(signal.o)[19]
   32     4 _init_signal in D:\usr\local\sce\ee\gcc\ee\lib\libg.a(signal.o)[18]
